Year	Revenue( x10^6 dollars )

1984	    203.26
1985	    217.70
1986	    233.15
1987	    249.71
1988	    267.44
1989	    286.42
1990	    306.76
1991	    328.54
1992	    351.87
1993	    376.85
1994	    403.61
1995	    432.26
1996	    462.95
1997	    495.82
1998	    531.03
1999	    568.73
2000	    609.11
2001	    652.35
2002	    698.67
2003	    748.28
2004	    801.40
2005	    858.30
2006	    919.24
2007	    984.51
2008	   1054.41
2009	   1129.27
2010	   1209.45
2011	   1295.32
2012	   1387.29
2013	   1485.79
2014	   1591.28
2015	   1704.26
2016	   1825.26
2017	   1954.86
2018	   2093.65
2019	   2242.30
2020	   2401.51
2021	   2572.01
2022	   2754.63
2023	   2950.20
2024	   3159.67
2025	   3384.00
2026	   3624.27
2027	   3881.59
2028	   4157.18
2029	   4452.34
2030	   4768.46
2031	   5107.02
2032	   5469.62
2033	   5857.96
2034	   6273.88
2035	   6719.32
2036	   7196.40
2037	   7707.34
2038	   8254.56
2039	   8840.64
2040	   9468.32
2041	  10140.57
2042	  10860.55
2043	  11631.65
2044	  12457.50
2045	  13341.98
2046	  14289.26
2047	  15303.80
2048	  16390.37
2049	  17554.09
2050	  18800.43
2051	  20135.26
2052	  21564.86
2053	  23095.96
2054	  24735.78
2055	  26492.02
2056	  28372.95
2057	  30387.43
2058	  32544.94
2059	  34855.63
2060	  37330.38
2061	  39980.83
2062	  42819.47
2063	  45859.66
2064	  49115.69
2065	  52602.91
2066	  56337.71
2067	  60337.69
2068	  64621.67
2069	  69209.80
2070	  74123.70
2071	  79386.48
2072	  85022.92
2073	  91059.55
2074	  97524.78
2075	 104449.04
2076	 111864.92
2077	 119807.33
2078	 128313.65
2079	 137423.92
2080	 147181.02
2081	 157630.87
2082	 168822.66
2083	 180809.07
2084	 193646.52
2085	 207395.42
2086	 222120.49
2087	 237891.05
2088	 254781.31
2089	 272870.79
2090	 292244.61
2091	 312993.98
2092	 335216.55
2093	 359016.93
2094	 384507.13
2095	 411807.13
2096	 441045.44
2097	 472359.67
2098	 505897.20
2099	 541815.91
2100	 580284.83
2101	 621485.06
2102	 665610.50
2103	 712868.84
2104	 763482.53
2105	 817689.79
2106	 875745.77
2107	 937923.71
2108	1004516.30
2109	1075836.96
