aa,48
ab,2952
ac,3577
ad,2140
ae,404
af,473
ag,1928
ah,203
ai,1463
aj,55
ak,484
al,7033
am,2286
an,8471
ao,45
ap,2219
aq,56
ar,6895
as,3132
at,10024
au,1062
av,838
aw,450
ax,244
ay,599
az,232
ba,1761
bb,317
bc,43
bd,101
be,1965
bf,21
bg,12
bh,23
bi,1928
bj,50
bk,5
bl,3041
bm,40
bn,32
bo,1556
bp,21
bq,4
br,1433
bs,291
bt,111
bu,1009
bv,26
bw,12
bx,0
by,171
bz,2
ca,4348
cb,7
cc,552
cd,6
ce,3363
cf,2
cg,1
ch,3781
ci,2342
cj,0
ck,1580
cl,1042
cm,7
cn,32
co,5270
cp,10
cq,47
cr,1698
cs,181
ct,2154
cu,1868
cv,0
cw,1
cx,0
cy,958
cz,6
da,1431
db,55
dc,37
dd,400
de,4963
df,86
dg,235
dh,70
di,4196
dj,69
dk,9
dl,437
dm,144
dn,246
do,1539
dp,31
dq,2
dr,1122
ds,194
dt,36
du,800
dv,92
dw,96
dx,0
dy,399
dz,4
ea,3460
eb,610
ec,2561
ed,4713
ee,1714
ef,899
eg,862
eh,257
ei,722
ej,83
ek,114
el,4142
em,2529
en,8996
eo,996
ep,1697
eq,225
er,12642
es,6317
et,3930
eu,612
ev,837
ew,580
ex,1264
ey,438
ez,88
fa,872
fb,6
fc,4
fd,2
fe,1273
ff,736
fg,3
fh,2
fi,1478
fj,0
fk,2
fl,944
fm,9
fn,9
fo,1522
fp,1
fq,0
fr,700
fs,15
ft,281
fu,925
fv,0
fw,5
fx,0
fy,235
fz,0
ga,1599
gb,35
gc,12
gd,31
ge,2790
gf,17
gg,412
gh,829
gi,1269
gj,1
gk,4
gl,855
gm,164
gn,612
go,1009
gp,7
gq,0
gr,1609
gs,96
gt,56
gu,921
gv,1
gw,40
gx,0
gy,634
gz,3
ha,2793
hb,64
hc,18
hd,29
he,3640
hf,58
hg,6
hh,20
hi,2650
hj,0
hk,2
hl,268
hm,182
hn,166
ho,2896
hp,27
hq,3
hr,822
hs,54
ht,625
hu,570
hv,2
hw,97
hx,0
hy,1425
hz,0
ia,3254
ib,1110
ic,5801
id,2461
ie,1422
if,1605
ig,1792
ih,63
ii,28
ij,16
ik,213
il,3520
im,1922
in,11875
io,5423
ip,1590
iq,123
ir,1660
is,7091
it,5849
iu,525
iv,1833
iw,20
ix,183
iy,0
iz,1208
ja,255
